temperature,humidity,ph,label
22.349393,92.269734,5.807075,manzana
24.483114,64.236347,7.162593,lenteja
27.589324,91.019808,6.709053,melón
25.109008,83.691193,6.399987,sandía
22.843685,83.150051,7.632009,algodón
21.424511,20.396597,5.912290,frijol rojo
28.770231,87.282778,6.778514,frijol chino
41.948657,81.388876,5.644651,uva
27.499179,51.405726,4.365316,frijol moth
24.667493,51.422599,7.288363,café
19.026979,15.640542,7.168945,garbanzo
24.973179,82.803890,6.584660,arroz
23.094338,81.451393,6.141329,yute
16.573873,94.672349,6.523029,naranja
28.112959,82.845001,6.271031,frijol chino
28.816937,44.594059,7.853074,frijol moth
24.697250,88.423575,6.565587,sandía
19.969795,24.954329,5.681487,frijol rojo
35.433146,92.483756,6.807373,papaya
24.890501,67.071037,5.768264,maíz
26.596845,95.772037,6.248776,coco
25.952633,61.890822,6.325235,maíz
21.144738,92.876210,5.816369,manzana
28.584255,50.571742,5.438883,mango
22.734246,92.750862,5.605486,manzana
31.331476,49.986662,3.517600,frijol moth
22.566642,93.374889,7.598729,naranja
23.580235,80.522899,6.363006,arroz
29.868958,93.251032,6.076460,melón
21.374016,60.502760,6.437106,maíz
29.116849,68.013985,7.159114,frijol urad
23.611920,91.702938,5.812782,manzana
25.310423,72.013644,6.346715,yute
32.879731,53.124505,4.683006,mango
23.937737,20.592812,5.697348,frijol rojo
23.063581,56.694903,5.801243,maíz
21.198522,92.155951,6.276199,manzana
15.330426,18.343158,5.623076,frijol rojo
25.669306,80.213272,6.907629,arroz
34.305979,69.405913,6.603150,frijol urad
27.696678,60.542495,6.556929,lenteja
23.723374,81.530770,7.305635,algodón
23.380203,85.273377,6.658430,yute
17.553406,14.924357,8.498598,garbanzo
30.336702,61.070461,7.685198,frijol moth
18.920152,89.020713,6.066750,granada
25.162966,92.547360,7.105905,naranja
27.249179,86.317473,6.665320,frijol chino
23.920757,84.764232,6.117153,arroz
27.896361,88.717823,6.784153,frijol chino
24.970426,78.626977,6.856833,yute
22.968826,82.882197,6.044000,arroz
19.097468,73.736123,6.155988,maíz
24.900757,73.841864,6.588017,yute
24.724480,79.155195,5.989167,algodón
24.216103,59.792363,8.869533,frijol moth
23.178169,92.159803,6.401440,naranja
